Português,Inglês,Link Wikidata,Comment
Outros,Other,,
Bom,Good,,
Regular,Moderate,,
Mau,Bad,,
Destruído,Destroyed,https://www.wikidata.org/wiki/Q56556915,
Em Perigo,Endangered,,
