Português,Inglês,Link Wikidata,Comment
Mosteiro,Monastery,https://www.wikidata.org/wiki/Q44613,
Muralha,Wall,https://www.wikidata.org/wiki/Q42948,
Muro,Wall,https://www.wikidata.org/wiki/Q42948,
Naufrágio,Shipwrecking,https://www.wikidata.org/wiki/Q906512,
Návio,Ship,https://www.wikidata.org/wiki/Q11446,
Necrópole,Necropolis,https://www.wikidata.org/wiki/Q200141,?
Nicho,Niche (?),https://www.wikidata.org/wiki/Q695992,
Núcleo de Povoamento,Settlement ,https://www.wikidata.org/wiki/Q486972,Settlement
Oficina,Workshop,https://www.wikidata.org/wiki/Q656720,
Olaria,Pottery,https://www.wikidata.org/wiki/Q11642,Potter(?)
Ossário,Ossuary,https://www.wikidata.org/wiki/Q255595,
Outros,Other,,
Paço,,,
Palácio,Palace,https://www.wikidata.org/wiki/Q16560,
Pedreira,Quarry,https://www.wikidata.org/wiki/Q188040,
Pelourinho,Pillory,https://www.wikidata.org/wiki/Q3851512,
Peso de lagar,Oil Mill,https://www.wikidata.org/wiki/Q297163,Winery weight?/oil mill?
Pio,,,?
Piroga,Pirogue,https://www.wikidata.org/wiki/Q33791,canoe
Poço,Water Well,https://www.wikidata.org/wiki/Q43483,
Poldra,Stepping Stones,https://www.wikidata.org/wiki/Q1415899,
Ponte,Bridge,https://www.wikidata.org/wiki/Q12280,
Porto,Port,https://www.wikidata.org/wiki/Q44782,
Povoado,Settlement,https://www.wikidata.org/wiki/Q486972,
Povoado Fortificado,Fortified Settlement,https://www.wikidata.org/wiki/Q76293721,
Povoado Mineiro,Mining Town,https://www.wikidata.org/wiki/Q820254,
Quinta,Farm,https://www.wikidata.org/wiki/Q131596,
Recinto,Precint,,
Represa,Dam,https://www.wikidata.org/wiki/Q12323,
Salina,Salt Pan,https://www.wikidata.org/wiki/Q935277,
Santuário,Sanctuary,https://www.wikidata.org/wiki/Q29553,
Sarcófago,Sarcophagus,https://www.wikidata.org/wiki/Q48634,
Sepultura,Grave,https://www.wikidata.org/wiki/Q173387,
Silo,Silo (?),https://www.wikidata.org/wiki/Q213643,
Sinagoga,Synagogue,https://www.wikidata.org/wiki/Q34627,
Talude,Slope,,ou Bank
Tanque,Tank,https://www.wikidata.org/wiki/Q12876,
Teatro,Theater,https://www.wikidata.org/wiki/Q24354,
Templo,Temple,https://www.wikidata.org/wiki/Q44539,
Termas,Thermal Baths,https://www.wikidata.org/wiki/Q1004887,
Tesouro,Treasure,https://www.wikidata.org/wiki/Q272937,
Tholos,Tholos,https://www.wikidata.org/wiki/Q55635722,
Torre,Tower,https://www.wikidata.org/wiki/Q12518,
Tulhas,Storehouses,https://www.wikidata.org/wiki/Q181623,
Tumulo,Tomb,https://www.wikidata.org/wiki/Q381885,
Varadouro,Beaching,https://www.wikidata.org/wiki/Q729298,
Vestígios de Superfície,Surface Traces,,
Vestígios Diversos,Miscellaneous Traces,-,
Via,Road,https://www.wikidata.org/wiki/Q34442,
Viaduto,Viaduct,https://www.wikidata.org/wiki/Q181348,
Vicus,Vicus,https://www.wikidata.org/wiki/Q763590,
Villa,Villa,https://www.wikidata.org/wiki/Q3950,
Viveiros,Plant Nursery,https://www.wikidata.org/wiki/Q155511,
