Português,Inglês,Link Wikidata,Comment
Tipos de Ameaças,Threat Type,,
Tipos de Conservação,Conservation State,https://www.wikidata.org/wiki/Property:P5816,https://www.wikidata.org/w/index.php?title=Wikidata:Property_proposal/state_of_conservation&oldid=743714930
Tipos de Protecções,Type of Protections,,
Tipos de Sítio,Type of Site,,
Tipos de Usos do Solo,Type of Land Uses,,
Tipos de Vigilância,Type of Surveillance,,
